pdbid,-logKd/Ki,Kd/Ki
3dxg,2.4,Ki=4.0mM
3l7b,2.4,Ki=4.01mM
4u4s,2.92,Kd=1200uM
3aru,3.22,Kd=600uM
4eky,3.52,Ki=303.0uM
3d6q,3.76,Ki=172uM
1c5z,4.01,Ki=97uM
3g2n,4.09,Ki=81uM
3f3a,4.19,Ki=64.8uM
3pxf,4.43,Kd=37uM
3syr,5.1,Ki=7.9uM
4m0z,5.19,Kd=6.4uM
4de3,5.52,Ki=3.0uM
4dli,5.62,Kd=2.40uM
3arv,5.64,Kd=2.3uM
1o5b,5.77,Ki=1.7uM
3ary,6.0,Kd=1.0uM
4x6p,8.3,Ki=5nM
3nw9,9.0,Ki=1nM
3ao4,2.07,Kd=8.5mM
3gv9,2.12,Ki=7.5mM
1uto,2.27,Kd=5.32mM
1ps3,2.28,Ki=5.2mM
4ddk,2.29,Kd=5.1mM
4jsz,2.3,Ki=5000uM
3g2z,2.36,Ki=4.4mM
3gr2,2.52,Ki=3mM
3kgp,2.57,Ki=2.68mM
3fcq,2.77,Ki=1.7mM
3lka,2.82,Kd=1.5mM
3zt2,2.84,Kd=1435uM
3udh,2.85,Kd=1.4mM
3g31,2.89,Ki=1.3mM
4llx,2.89,Ki=1300uM
4owm,2.96,Ki=1090uM
5aba,2.98,Kd=1040uM
2xdl,3.1,Kd=790uM
4kz6,3.1,Ki=0.8mM
2ymd,3.16,Kd=693uM
1bcu,3.28,Kd=0.53mM
3zsx,3.28,Kd=519uM
4ddh,3.3,Kd=0.5mM
4abg,3.57,Kd=271uM
5a7b,3.57,Kd=271uM
3dx1,3.58,Ki=265uM
4bkt,3.62,Kd=240uM
2v00,3.66,Kd=0.22mM
4cig,3.67,Kd=214uM
3n7a,3.7,Ki=200uM
2hb1,3.8,Ki=160uM
3twp,3.92,Ki=119uM
4agn,3.97,Kd=107uM
3nq9,4.03,Kd=92.6uM
2w66,4.05,Ki=89uM
3kwa,4.08,Ki=84uM
4cr9,4.1,Ki=80uM
4ih5,4.11,Kd=78uM
4de2,4.12,Ki=76.0uM
3ozt,4.13,Ki=74.9uM
1a30,4.3,Ki=50uM
3ivg,4.3,Kd=50uM
3u9q,4.38,Ki=41.7uM
3rsx,4.41,Kd=38.8uM
2wbg,4.45,Ki=35.2uM
3rr4,4.55,Ki=28.05uM
4w9c,4.65,Kd=22.2uM
3mss,4.66,Kd=22uM
4agp,4.69,Kd=20.6uM
4mgd,4.69,Kd=20.19uM
1vso,4.72,Ki=18.98uM
4jxs,4.74,Ki=18uM
1q8t,4.76,Kd=17.5uM
3acw,4.76,Ki=17.5uM
4lzs,4.8,Kd=16uM
3r88,4.82,Ki=15uM
4ciw,4.82,Ki=15.0uM
