pdbid,-logKd/Ki,Kd/Ki
3zzf,0.4,Ki=400mM
3gww,0.45,IC50=355mM
1w8l,0.49,Ki=320mM
3fqa,0.49,IC50=320mM
1zsb,0.6,Kd=250mM
4obv,0.75,Ki=178mM
1wkm,0.82,Ki=150mM
3k41,0.82,Kd=150mM
4eu3,0.82,Ki=150mM
2w97,0.96,Kd=110mM
1p0y,1.0,Ki=100.8mM
2b1r,1.0,Ki=101mM
2d2v,1.0,Ki=100mM
2a31,1.01,Kd=97mM
1aw1,1.05,Ki=89mM
1maw,1.1,Kd=80mM
3fl9,1.11,IC50=77.2mM
4lh2,1.24,Ki=58mM
4to8,1.24,IC50=56.9mM
4fci,1.26,Ki~55mM
4fck,1.26,Ki~55mM
4clp,1.27,Kd=54.2mM
1f9g,1.28,Ki=53mM
1a0t,1.3,Kd=50mM
1b74,1.3,Ki=50mM
2fah,1.3,Ki>50mM
2igw,1.31,Kd=49mM
2vl1,1.35,Ki=45mM
3nm6,1.35,Kd=45mM
1qpb,1.36,Kd=44mM
1hty,1.4,IC50=40mM
1o4l,1.4,IC50>40mM
1o4m,1.4,IC50>40mM
1o4n,1.4,IC50>40mM
2hdq,1.4,Ki=40mM
3eor,1.4,Kd=40mM
3e81,1.43,Ki=37mM
1ozv,1.44,Ki=36.6mM
1utp,1.44,Kd=36mM
1tnk,1.49,Ki=32.5mM
4bh4,1.49,Kd=32mM
4lh3,1.52,Ki=30mM
5ct1,1.52,Kd=30.2mM
3mwe,1.54,Ki=29mM
4amw,1.55,Ki=28.3mM
1iig,1.57,Ki=27mM
3rup,1.57,Ki=27.0mM
5cs5,1.58,Kd=26.6mM
2b1q,1.59,Ki=26mM
1w8m,1.6,Ki=25mM
3itc,1.6,Ki=25mM
2it4,1.62,Ki=24.1mM
1a7t,1.64,Ki=23mM
4d63,1.64,Kd~23mM
1hgj,1.66,Kd=22mM
1rdj,1.66,Ki=21.7mM
2o9r,1.68,Ki=21mM
4qsw,1.68,Kd=21mM
2sfp,1.7,Ki=20mM
3gf2,1.7,Kd=20mM
3oay,1.7,IC50~20mM
4tyb,1.7,Kd=19.99mM
3g6m,1.71,Ki=19.7mM
2hdr,1.72,Ki=19mM
3ern,1.72,Kd=18.91mM
3vzg,1.72,Kd=19mM
3zst,1.72,IC50=19mM
1u2y,1.74,Ki=18mM
